id_puesto,municipio,cod_dane,puesto,cod_comune,direccion,lon,lat,semaforo,rank_abelardo,votos_abelardo,total_validos,pct_abelardo,n_mesas,v_paloma_valencia,v_sergio_fajardo,v_miguel_uribe_londoño,v_gustavo_matamoros,v_roy_barrera,v_ivan_cepeda,v_santiago_botero,v_sondra_maconllis,v_abelardo_de_la_espriella,v_claudia_lopez,v_luis_gilberto_murillo,v_carlos_caicedo,v_oscar_mauricio_lizcano
p0113,BARBOSA,05079,BIBLIOTECA ISOLDA ECHAVARRIA,0,CL. 15 No. 10 - 50,-75.3293224715638,6.435859176595,verde,1,628,1091,57.56,6,177,47,0,0,0,216,0,0,628,0,0,0,0
p0114,BARBOSA,05079,C.A.S DIEGO FERNANDEZ BARBOSA,0,CR. 21 No. 11 - 30,-75.3337919086688,6.43804159991233,verde,1,685,1217,56.29,7,194,40,0,0,0,256,0,0,685,0,0,0,0
p0115,BARBOSA,05079,CARCEL,0,KR 10 # 16 - 60,-75.3284163718772,6.43601121499908,amarillo,2,3,9,33.33,1,1,0,0,0,0,4,0,0,3,0,1,0,0
p0116,BARBOSA,05079,CENTRO DE EDUCACION SUPERIOR,0,CRA 14 No 15-32,-75.3305257387941,6.43719806546709,verde,1,657,1354,48.52,7,138,72,0,0,0,451,0,0,657,0,0,0,0
p0117,BARBOSA,05079,COL. COOPERATIVO SIMÓN BOLIVAR,0,CR. 11 No. 15 - 41,-75.3293437596209,6.43613530640385,verde,1,729,1366,53.37,8,151,85,0,0,0,372,0,0,729,0,0,0,0
p0118,BARBOSA,05079,I.E. MANUEL JOSE CAICEDO,0,CL. 16 CR. 8 - 2 INT. 110,-75.3273106532788,6.43461257403201,verde,1,1566,3647,42.94,24,305,276,0,0,0,1407,0,0,1566,0,0,0,0
p0119,BARBOSA,05079,I.E.R. EL HATILLO,0,CORREGIMIENTO EL HATILLO,-75.3921408215593,6.413508194126,verde,1,1481,3006,49.27,17,321,175,0,0,0,922,0,0,1481,0,0,0,0
p0120,BARBOSA,05079,IE LUIS EDUARDO ARIAS,0,Cll. 15 #08-103,-75.3287075456223,6.43470727095472,verde,1,2283,4240,53.84,23,567,221,0,0,0,1053,0,0,2283,0,0,0,0
p0121,BARBOSA,05079,PBRO. LUIS EDUARDO PEREZ MOLINA,0,CL. 15 No. 8 - 179,-75.3290933874096,6.43509283253563,verde,1,1562,3021,51.7,18,497,133,0,0,0,738,0,0,1562,0,0,0,0
p0122,BARBOSA,05079,UNIDAD DEPORTIVA LOS BUCAROS,0,CLL 20 No 19-24,-75.3305130472892,6.44092974152734,verde,1,2023,4348,46.53,27,380,316,0,0,0,1510,0,0,2023,0,0,0,0
p0123,BELLO,05088,BETSABE ESPINAL,0,"AV 33 NRO 59 33 BR
TERRANOVA",-75.5418956279754,6.34402582708709,verde,1,3580,6977,51.31,26,455,749,0,0,0,2097,0,0,3580,0,0,0,0
p0124,BELLO,05088,CARCEL NACIONAL DE BELLAVISTA,0,DIAG 44 #39 -145,-75.5443854199999,6.33083390699999,amarillo,2,65,236,27.54,2,23,18,0,0,0,122,0,0,65,0,0,0,0
p0125,BELLO,05088,CENTRO EDUCAT RAQUEL JARAMILLO,0,CL 21 A 66 43,-75.5749189853668,6.31241932338589,verde,1,2376,4547,52.25,25,434,325,0,0,0,1286,0,0,2376,0,0,0,0
p0126,BELLO,05088,COL JESUS DE LA BUENA ESPERANZ,0,"CL 49 47 - 10 BARRIO
MANCHESTER",-75.5563366413116,6.33440225672819,verde,1,4671,7631,61.21,40,815,417,0,0,0,1590,0,0,4671,0,0,0,0
p0127,BELLO,05088,COL NUESTRA SEÑORA DE CHIQUINQ,0,DG 61 NO 42-78,-75.549223423004,6.34367127768171,verde,1,3148,6077,51.8,26,431,606,0,0,0,1793,0,0,3148,0,0,0,0
p0128,BELLO,05088,COLEGIO ANA MARIA JANER,0,DIG 53 NRO 43-81,-75.55087,6.33788,verde,1,248,455,54.51,2,29,50,0,0,0,114,0,0,248,0,0,0,0
p0129,BELLO,05088,COLEGIO BETHLEMITAS,0,CL 24A NRO 51-52,-75.55889,6.31424,verde,1,748,1355,55.2,5,84,150,0,0,0,359,0,0,748,0,0,0,0
p0130,BELLO,05088,COLEGIO CARMELITANO,0,CL 57 NRO 62 - 34,-75.56683,6.34073,verde,1,367,691,53.11,3,53,50,0,0,0,208,0,0,367,0,0,0,0
p0131,BELLO,05088,COLEGIO LA SALLE,0,CL 45 57 44,-75.5645012855528,6.33125123152537,verde,1,5465,10234,53.4,45,935,973,0,0,0,2712,0,0,5465,0,0,0,0
p0132,BELLO,05088,COLEGIO MANO AMIGA,0,"CARRERA 66 No 59A 80 EL
TRAPICHE",-75.5692,6.34483,verde,1,4300,8440,50.95,35,620,731,0,0,0,2642,0,0,4300,0,0,0,0
p0133,BELLO,05088,COLEGIO PARROQUIAL SAN FCO DE ASIS,0,KR 58 27B-21,-75.5639809367739,6.31750592613908,verde,1,3735,6440,58.0,29,548,649,0,0,0,1438,0,0,3735,0,0,0,0
p0134,BELLO,05088,COLEGIO SAN BUENAVENTURA,0,CRA 51A 23-83,-75.5591475963591,6.31364565763424,verde,1,3278,5443,60.22,23,414,579,0,0,0,1126,0,0,3278,0,0,0,0
p0135,BELLO,05088,I.E. ANDRES BELLO,0,KR 50 #54 -28,-75.55886298,6.33784456199999,verde,1,4019,6341,63.38,22,607,392,0,0,0,1210,0,0,4019,0,0,0,0
p0136,BELLO,05088,I.E. ATANASIO GIRARDOT,0,CL 24 A NO 59 A 114,-75.569758415222,6.31412552676682,verde,1,3542,7176,49.36,43,373,705,0,0,0,2418,0,0,3542,0,0,0,0
p0137,BELLO,05088,I.E CARLOS PEREZ SEDE ROSALIA,0,CLL 53 A NO 57 A 34,-75.565273761749,6.33895014919964,verde,1,1886,4480,42.1,20,311,438,0,0,0,1772,0,0,1886,0,0,0,0
p0138,BELLO,05088,I.E. CIAL ANTONIO ROLDAN,0,DG 65 45DD 215,-75.5531255675531,6.34598262667972,verde,1,2137,3786,56.44,18,454,263,0,0,0,855,0,0,2137,0,0,0,0
p0139,BELLO,05088,I.E. CONCEJO DE BELLO,0,DIAG 56 45 42,-75.553354024887,6.34066692819449,verde,1,3544,6671,53.13,30,547,543,0,0,0,1918,0,0,3544,0,0,0,0
p0140,BELLO,05088,I.E DIVINA EUCARISTIA,0,CRA 53 NRO 51-28,-75.56087,6.3351,verde,1,200,394,50.76,2,38,23,0,0,0,129,0,0,200,0,0,0,0
p0141,BELLO,05088,I.E FE Y ALEGRIA NUEVA GENERAC,0,AV 38 61 02,-75.5464017391203,6.34412179530535,verde,1,3929,7568,51.92,30,697,619,0,0,0,2204,0,0,3929,0,0,0,0
p0142,BELLO,05088,I.E FEDERICO SIERRA ARANGO,0,CR 43B #20E -40,-75.55308986,6.308767856,verde,1,2782,5064,54.94,30,493,329,0,0,0,1317,0,0,2782,0,0,0,0
p0143,BELLO,05088,I.E. FERNANDO VELEZ,0,CR 58 A NO 52C 135,-75.567419528961,6.33762257394572,verde,1,3340,6339,52.69,30,684,471,0,0,0,1705,0,0,3340,0,0,0,0
p0144,BELLO,05088,I.E FONTIDUEÑO JAIME ARANGO R,0,DIAG 44 #32 -84,-75.5363970994949,6.33425297001226,verde,1,2621,5251,49.91,25,415,401,0,0,0,1699,0,0,2621,0,0,0,0
p0145,BELLO,05088,I.E. GILBERTO ECHEVERRI MEJIA,0,CL 68 49A 41 BR MIRADOR,-75.5586272478076,6.34788853374588,verde,1,2386,4793,49.78,21,452,402,0,0,0,1468,0,0,2386,0,0,0,0
p0146,BELLO,05088,I.E. HERNAN VILLA BAENA,0,CL 69 # 60 235,-75.5657029151915,6.34854697706008,verde,1,3579,6159,58.11,30,654,364,0,0,0,1438,0,0,3579,0,0,0,0
p0147,BELLO,05088,I.E. LA GABRIELA,0,CL 31 #43 -94,-75.5507843799998,6.319204044,verde,1,2243,4612,48.63,23,406,333,0,0,0,1499,0,0,2243,0,0,0,0
p0148,BELLO,05088,I.E. LA MILAGROSA,0,CL 62 A 54-51,-75.5609902739523,6.34259963062792,verde,1,3071,5733,53.57,26,487,413,0,0,0,1594,0,0,3071,0,0,0,0
p0149,BELLO,05088,I.E LA UNION SAN FELIX,0,KILOMETRO 16 VIA BELLO SAN FELIX VEREDA LA UNION,-75.6209,6.37994,verde,1,80,131,61.07,1,17,9,0,0,0,19,0,0,80,0,0,0,0
p0150,BELLO,05088,I.E. LAS VEGAS,0,DIAG 45 #35 -85,-75.5416059494017,6.33185904499041,verde,1,1855,3395,54.64,15,240,235,0,0,0,984,0,0,1855,0,0,0,0
p0151,BELLO,05088,I.E MARCO FIDEL SUAREZ SEDE NAZARETH,0,CALLE 51 # 58-55,-75.5651002199999,6.33437635199999,verde,1,1923,4175,46.06,22,277,416,0,0,0,1473,0,0,1923,0,0,0,0
p0152,BELLO,05088,I.E. NAVARRA,0,DIAG 57 #20 - 46,-75.5315825343132,6.34652366072163,verde,1,1665,2970,56.06,11,258,276,0,0,0,733,0,0,1665,0,0,0,0
p0153,BELLO,05088,I.E. SAN FELIX,0,"KILOMETRO 22 VIA
MEDELLIN SAN PEDRO",-75.6088965899999,6.33997477399999,verde,1,1005,1660,60.54,8,253,100,0,0,0,251,0,0,1005,0,0,0,0
p0154,BELLO,05088,I.E SAN GABRIEL ARCANGEL,0,AV 14 B # 53B - 111,-75.52386,6.34621,verde,1,216,451,47.89,2,46,27,0,0,0,154,0,0,216,0,0,0,0
p0155,BELLO,05088,I.E. SAN JUDAS BARRIO PARIS,0,CRA 75 # 21-60,-75.57993,6.31399,verde,1,128,299,42.81,2,13,16,0,0,0,126,0,0,128,0,0,0,0
p0156,BELLO,05088,I.E. SANTA CATALINA,0,CL 56 46 14,-75.5559396743773,6.33927004633944,verde,1,2731,5033,54.26,23,465,426,0,0,0,1326,0,0,2731,0,0,0,0
p0157,BELLO,05088,I.E. TOMAS CADAVID RESTREPO,0,CALLE 55 No 38-170,-75.56,6.32399999999999,verde,1,3338,5600,59.61,25,512,446,0,0,0,1232,0,0,3338,0,0,0,0
p0158,BELLO,05088,IE BARRIO PARIS,0,CARRERA 76 No 20F-59,-75.5815819999999,6.313545,verde,1,989,2070,47.78,13,114,172,0,0,0,723,0,0,989,0,0,0,0
p0159,BELLO,05088,IE JORGE ELIECER GAITAN,0,CARRERA 50 No 53-64,-75.5587666325078,6.33705260135115,verde,1,5062,9261,54.66,46,951,650,0,0,0,2453,0,0,5062,0,0,0,0
p0160,BELLO,05088,IE JOSEFA CAMPOS,0,DIAGONAL 65 No 45BB-137,-75.5525279045103,6.3462864070335,verde,1,2888,6084,47.47,27,435,500,0,0,0,2131,0,0,2888,0,0,0,0
p0161,BELLO,05088,IE SAGRADO CORAZON,0,CALLE 47 No 48-38,-75.5567631125449,6.33326927610737,verde,1,1457,2946,49.46,19,185,247,0,0,0,985,0,0,1457,0,0,0,0
p0162,BELLO,05088,IE SUAREZ DE LA PRESENTACION,0,CRA 55 No 35-41,-75.5590169,6.312839406,verde,1,3402,6955,48.91,35,481,952,0,0,0,2042,0,0,3402,0,0,0,0
