id_puesto,municipio,cod_dane,cod_comune,puesto,direccion,lon,lat,semaforo,rank_abelardo,votos_abelardo,total_validos,pct_abelardo,n_mesas,v_paloma_valencia,v_sergio_fajardo,v_ivan_cepeda,v_abelardo_de_la_espriella
p0001,ABEJORRAL,05002,,CARCEL MUNICIPAL,CARRERA 51 No. 55-49,-75.4269790649414,5.79192152402118,verde,1,4,9,0.4444,1,2,1,1,4
p0002,ABEJORRAL,05002,,CHAGUALAL IER ZOILA DUQUE BAENA,VEREDA CHAGUALAL,-75.5113077163696,5.79896669639219,verde,1,125,228,0.5482,2,58,6,26,125
p0003,ABEJORRAL,05002,,GUAICO GRANDE IER CELIA DUQUE,VEREDA GUAICO GRANDE,-75.4500966291181,5.91291536981376,verde,1,82,199,0.4121,2,70,15,19,82
p0004,ABEJORRAL,05002,,I.E. FUNDACION CELIA DUQUE,KR 55 # 44-110,-75.4270434379577,5.79129175384748,verde,1,3679,6346,0.5797,38,1308,295,843,3679
p0005,ABEJORRAL,05002,,IER PANTANILLO,"CORREGIMIENTO
PANTANILLO",-75.4908761705476,5.72979279079065,verde,1,232,432,0.537,3,152,8,19,232
p0006,ABEJORRAL,05002,,PORTUGAL IER ZOILA DUQUE BAENA,VEREDA PORTUGAL,-75.5019509014305,5.82983807071994,verde,1,26,59,0.4407,1,22,1,9,26
p0007,ABEJORRAL,05002,,PURIMA IER CELIA DUQUE,VEREDA PURIMA,-75.4410552978516,5.72736110466318,verde,1,43,86,0.5,1,23,7,7,43
p0008,ABRIAQI,05004,,I.E LA MILAGROSA,carrera 10 #12 66,-76.0637636544047,6.63286023628673,verde,1,462,746,0.6193,5,204,21,48,462
p0009,ABRIAQI,05004,,SD LA ANTIGUA I.E LA MILAGROSA,CGTO. LA ANTIGUA,-76.0795597443054,6.71529416735729,verde,1,130,315,0.4127,2,115,5,54,130
p0010,ALEJANDRIA,05021,,I.E. PROCESA DELGADO,Cl. 22 # 20-60,-75.1412881,6.3790835,verde,1,1811,2694,0.6722,14,312,114,389,1811
p0011,AMAGA,05030,,CARCEL MUNICIPAL,CALLE 51 # 50 - 76,-75.7032449999998,6.04118099999999,verde,1,6,14,0.4286,1,0,0,6,6
p0012,AMAGA,05030,,COLISEO CTO JUAN MONTOYA CORREA,CRA. 54 No. 60 - 61,-75.7060790061949,6.04251351165713,verde,1,1026,2282,0.4496,14,102,180,861,1026
p0013,AMAGA,05030,,E.U. ALEJANDRO TORO,CRA. 51 No. 48-21,-75.7043087482451,6.03806976024778,verde,1,1292,2379,0.5431,13,279,103,613,1292
