id_puesto,puesto,cod_comune,direccion,lon,lat,semaforo,rank_abelardo,votos_abelardo,total_validos,pct_abelardo,n_mesas,v_paloma_valencia,v_sergio_fajardo,v_miguel_uribe_londoño,v_gustavo_matamoros,v_roy_barrera,v_ivan_cepeda,v_santiago_botero,v_sondra_maconllis,v_abelardo_de_la_espriella,v_claudia_lopez,v_luis_gilberto_murillo,v_carlos_caicedo,v_oscar_mauricio_lizcano
p0600,ALCALDIA MUNICIPAL (SOTANO),10,CL 44 # 52-165,-75.573693258162,6.24481434144119,verde,1.0,4437.0,7746.0,57.28,40.0,807.0,468.0,0.0,0.0,0.0,1909.0,0.0,0.0,4437.0,0.0,0.0,0.0,0.0
p0601,C.E. JUAN ANDRES PATIÑO,90,"CORREGIMIENTO SANTA
ELENA",-75.4799755784379,6.23197894711261,verde,1.0,205.0,425.0,48.24,2.0,40.0,44.0,0.0,0.0,0.0,134.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0
p0602,C.E. MARIA PAULINA TABORDA,70,"CLL 34 AB 126B 301 - VDA
TRAVESIAS EL CORAZON",-75.6362051146259,6.24788932345022,verde,1.0,109.0,212.0,51.42,1.0,22.0,17.0,0.0,0.0,0.0,60.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0
p0603,C.E. MEDIA LUNA,90,"CORREGIMIENTO SANTA
ELENA",-75.5176584479491,6.23837955350542,verde,1.0,100.0,162.0,61.73,1.0,15.0,11.0,0.0,0.0,0.0,35.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
p0604,C4TA CIUDADELA,12,CL 42C 95 51,-75.6137856228027,6.25347088063649,verde,1.0,1044.0,2118.0,49.29,9.0,156.0,247.0,0.0,0.0,0.0,649.0,0.0,0.0,1044.0,0.0,0.0,0.0,0.0
p0605,CASA DE GOBIERNO SANTA ELENA,90,"CORREGIMIENTO SANTA
ELENA",-75.4976222479098,6.20956799172564,verde,1.0,1255.0,2256.0,55.63,9.0,327.0,158.0,0.0,0.0,0.0,477.0,0.0,0.0,1255.0,0.0,0.0,0.0,0.0
p0606,CENTRO CARLOS LLERAS RESTREPO,00,CALLE 65C No. 94C-80,-75.6025791697869,6.28525133385359,verde,1.0,46.0,103.0,44.66,2.0,10.0,3.0,0.0,0.0,0.0,40.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
p0607,CENTRO COMERCIAL SAN DIEGO,10,CL 34 # 43-66,-75.5692212578617,6.23510426136417,verde,1.0,6737.0,9977.0,67.53,39.0,1174.0,635.0,0.0,0.0,0.0,1360.0,0.0,0.0,6737.0,0.0,0.0,0.0,0.0
p0608,CENTRO DE DESARROLLO SOCIAL (CDS),80,CRA 79 No 40 SUR - 40,-75.6558790664324,6.18540887478528,verde,1.0,2344.0,4839.0,48.44,20.0,371.0,427.0,0.0,0.0,0.0,1564.0,0.0,0.0,2344.0,0.0,0.0,0.0,0.0
p0609,CENTRO EDUCATIVO EL MANZANILLO,70,"CLL 5A SUR No 89A - 11
VEREDA MANZANILLO",-75.6141764090668,6.20670567399244,verde,1.0,553.0,851.0,64.98,4.0,76.0,62.0,0.0,0.0,0.0,146.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0
p0610,COL AGUSTINIANO DE SAN NICOLAS,04,KR 48 # 93-13,-75.5555363267569,6.28476235428265,verde,1.0,4753.0,8223.0,57.8,36.0,787.0,677.0,0.0,0.0,0.0,1864.0,0.0,0.0,4753.0,0.0,0.0,0.0,0.0
p0611,"COL. CALASANZ (FEM) CAMPESTRE
ESCOLAPIAS",11,CL 55 76A 71 (COLISEO),-75.5906139763586,6.26563225234426,verde,1.0,5446.0,8660.0,62.89,30.0,742.0,1027.0,0.0,0.0,0.0,1385.0,0.0,0.0,5446.0,0.0,0.0,0.0,0.0
p0612,"COL DE LA COMPAÑIA DE MARIA LA
ENSEÑANZA",14,CALLE 9 SUR No 37-345,-75.5743729977304,6.19493669066274,verde,1.0,5309.0,6676.0,79.52,23.0,898.0,206.0,0.0,0.0,0.0,247.0,0.0,0.0,5309.0,0.0,0.0,0.0,0.0
p0613,COL LA INMACULADA,16,CRA 76 No 12-57,-75.5986170489363,6.22114232016575,verde,1.0,5510.0,8462.0,65.11,29.0,662.0,987.0,0.0,0.0,0.0,1253.0,0.0,0.0,5510.0,0.0,0.0,0.0,0.0
p0614,COL.MARYMOUNT,,,,,,,,,,,,,,,,,,,,,,,
