dept_co,dept_nombre,muni_co,muni_nombre,total_votantes,votos_validos,pct_participacion,mesas_total,mesas_escrutadas,votos_AE,votos_IC,votos_Valencia,votos_Fajardo,votos_Lopez,votos_Botero,votos_coalicion_AE,diff_AE_IC,diff_coalicion_IC,pct_AE,pct_IC,pct_Valencia,pct_Fajardo,pct_coalicion,gana_AE,gana_coalicion,ganador,ganador_coalicion
1,ANTIOQUIA,1001,MEDELLIN,1241123,1227731,65.6,5329,5329,676358,300729,101941,105609,5056,9253,883908,375629,583179,55.09,24.49,8.3,8.6,72.0,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1004,ABEJORRAL,7590,7472,49.29,48,48,4191,924,1635,343,45,132,6169,3267,5245,56.09,12.37,21.88,4.59,82.56,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1007,ABRIAQUI,1097,1077,54.06,7,7,592,102,319,26,4,8,937,490,835,54.97,9.47,29.62,2.41,87.0,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1010,ALEJANDRIA,2760,2724,58.19,14,14,1811,389,312,114,2,48,2237,1422,1848,66.48,14.28,11.45,4.19,82.12,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1013,AMAGA,13229,12966,53.4,74,74,6531,3882,1067,659,52,325,8257,2649,4375,50.37,29.94,8.23,5.08,63.68,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1016,AMALFI,6760,6657,35.57,56,56,4087,1140,572,327,41,153,4986,2947,3846,61.39,17.12,8.59,4.91,74.9,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1019,ANDES,17719,17551,48.78,111,111,10148,2566,3583,584,52,243,14315,7582,11749,57.82,14.62,20.41,3.33,81.56,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1022,ANGELOPOLIS,2955,2899,49.36,19,19,1619,544,410,131,19,85,2160,1075,1616,55.85,18.77,14.14,4.52,74.51,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1025,ANGOSTURA,3667,3478,38.75,28,28,1816,559,600,178,33,76,2594,1257,2035,52.21,16.07,17.25,5.12,74.58,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1028,ANORI,3813,3758,27.82,43,43,1811,1275,215,152,10,99,2178,536,903,48.19,33.93,5.72,4.04,57.96,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1031,ANTIOQUIA,12290,12060,50.29,75,75,5907,3261,1673,574,57,174,8154,2646,4893,48.98,27.04,13.87,4.76,67.61,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1034,ANZA,2953,2901,44.14,20,20,1811,400,463,65,11,60,2339,1411,1939,62.43,13.79,15.96,2.24,80.63,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1035,APARTADO,54916,54380,50.0,323,323,16661,32102,2067,1385,164,340,20113,-15441,-11989,30.64,59.03,3.8,2.55,36.99,0,0,CEPEDA,CEPEDA
1,ANTIOQUIA,1037,ARBOLETES,9852,9773,42.01,72,72,4837,4120,414,157,18,59,5408,717,1288,49.49,42.16,4.24,1.61,55.34,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1039,ARGELIA,3202,3164,46.9,23,23,1946,334,670,56,8,52,2672,1612,2338,61.5,10.56,21.18,1.77,84.45,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1040,ARMENIA,2305,2256,50.26,14,14,1311,400,399,55,9,32,1765,911,1365,58.11,17.73,17.69,2.44,78.24,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1043,BARBOSA,24555,23983,52.26,138,138,11617,6929,2731,1365,141,332,15713,4688,8784,48.44,28.89,11.39,5.69,65.52,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1046,BELMIRA,2771,2729,51.13,19,19,1611,351,448,159,25,34,2218,1260,1867,59.03,12.86,16.42,5.83,81.28,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1049,BELLO,228294,225626,60.14,1043,1043,116690,63055,18571,18325,1154,2176,153586,53635,90531,51.72,27.95,8.23,8.12,68.07,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1052,BETANIA,3661,3617,43.55,25,25,2365,494,477,117,10,70,2959,1871,2465,65.39,13.66,13.19,3.23,81.81,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1055,BETULIA,5703,5591,41.29,42,42,3581,605,960,147,12,132,4688,2976,4083,64.05,10.82,17.17,2.63,83.85,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1058,BOLIVAR,11908,11749,49.85,71,71,7523,1642,1791,333,31,179,9647,5881,8005,64.03,13.98,15.24,2.83,82.11,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1061,BURITICA,3527,3470,41.22,27,27,1749,1075,360,97,13,53,2206,674,1131,50.4,30.98,10.37,2.8,63.57,1,1,ABELARDO,COALICIÓN AE
1,ANTIOQUIA,1062,BRICEÑO,1888,1816,27.63,23,23,1022,437,131,62,16,52,1215,585,778,56.28,24.06,7.21,3.41,66.91,1,1,ABELARDO,COALICIÓN AE
