dept_co,dept_nombre,muni_co,muni_nombre,mesas_total,mesas_escrutadas,pct_mesas_escrutadas,total_votantes,pct_participacion,total_abstencion,votos_nulos,votos_no_marcados,votos_blancos,votos_validos,codcan,codpar,candidato_presidente,candidato_vicepresidente,votos_candidato,pct_votos_candidato
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,4191,56.08
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,1635,21.88
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,924,12.36
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,343,4.59
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,132,1.76
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,45,0.6
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,29,0.38
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,22,0.29
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,15,0.2
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,11,0.14
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,6,0.08
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,3,0.04
01,ANTIOQUIA,01004,ABEJORRAL,48,48,100.0,7590,49.29,7808,65,53,113,7472,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,3,0.04
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,10215,76.15
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,1963,14.63
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,510,3.8
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,302,2.25
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,178,1.32
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,22,0.16
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,20,0.14
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,16,0.11
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,11,0.08
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,10,0.07
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,9,0.06
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,4,0.02
25,NORTE DE SAN,25004,ABREGO,87,87,100.0,13529,53.03,11979,85,30,151,13414,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,3,0.02
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,592,54.96
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,319,29.61
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,102,9.47
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,26,2.41
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,8,0.74
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,4,0.37
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,3,0.27
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,3,0.27
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,2,0.18
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,1,0.09
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,1,0.09
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,0,0.0
01,ANTIOQUIA,01007,ABRIAQUI,7,7,100.0,1097,54.06,932,18,2,16,1077,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,0,0.0
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,30711,53.45
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,17424,30.33
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,3765,6.55
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,2025,3.52
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,1613,2.8
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,434,0.75
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,108,0.18
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,61,0.1
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,51,0.08
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,49,0.08
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,34,0.05
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,25,0.04
52,META,52005,ACACIAS,229,229,100.0,59158,75.01,19699,1629,82,1128,57447,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,19,0.03
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,1944,46.97
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,1887,45.6
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,145,3.5
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,28,0.67
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,24,0.57
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,9,0.21
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,8,0.19
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,7,0.16
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,6,0.14
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,6,0.14
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,5,0.12
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,4,0.09
17,CHOCO,17004,ACANDI,36,36,100.0,4201,38.43,6728,39,24,64,4138,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,1,0.02
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,8820,69.12
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,2115,16.57
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,1145,8.97
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,199,1.55
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,146,1.14
19,HUILA,19004,ACEVEDO,69,69,100.0,12903,54.65,10706,114,29,188,12760,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,43,0.33
