dept_co,dept_nombre,muni_co,muni_nombre,mesas_total,mesas_escrutadas,pct_mesas_escrutadas,total_votantes,pct_participacion,total_abstencion,votos_nulos,votos_no_marcados,votos_blancos,votos_validos,codcan,codpar,candidato_presidente,candidato_vicepresidente,votos_candidato,pct_votos_candidato
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,10361499,43.74
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,9688361,40.9
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,1639685,6.92
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,1009073,4.26
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,225517,0.95
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,206140,0.87
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,53839,0.22
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,28657,0.12
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,19889,0.08
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,14108,0.05
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,13270,0.05
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,12694,0.05
00,COLOMBIA,00,COLOMBIA,122020,122020,100.0,23978304,57.88,17443669,245389,47586,406970,23685329,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,5627,0.02
